gem5 Simulator System.  http://gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 20.0.0.2
gem5 compiled Sep 14 2020 15:06:02
gem5 started Sep 14 2020 15:19:30
gem5 executing on nanocad-server-testbed, pid 5439
command line: x86o --debug-flags=CoherentXBar simple.py

Global frequency set at 1000000000000 ticks per second
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [14c0:14ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1500:153f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1500:153f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1540:157f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1540:157f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1580:15bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1580:15bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [15c0:15ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [15c0:15ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1600:163f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1600:163f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1640:167f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1640:167f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1680:16bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1680:16bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [16c0:16ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [16c0:16ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1700:173f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1700:173f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1740:177f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1740:177f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1780:17bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1780:17bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [17c0:17ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [17c0:17ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1800:183f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1800:183f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1840:187f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1840:187f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1880:18bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1880:18bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [18c0:18ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [18c0:18ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1900:193f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1900:193f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1940:197f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1940:197f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1980:19bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1980:19bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [19c0:19ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [19c0:19ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1a00:1a3f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1a00:1a3f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1a40:1a7f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1a40:1a7f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1a80:1abf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1a80:1abf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1ac0:1aff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1ac0:1aff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1b00:1b3f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1b00:1b3f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1b40:1b7f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1b40:1b7f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1b80:1bbf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1b80:1bbf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1bc0:1bff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1bc0:1bff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1c00:1c3f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1c00:1c3f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1c40:1c7f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1c40:1c7f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1c80:1cbf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1c80:1cbf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1cc0:1cff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1cc0:1cff]
